Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
HTTP请求1,35979,24,1,120,10.13,0.000%,352.89444,189.20,55.48,549.0
HTTP请求2,35968,24,1,121,10.03,0.000%,352.80674,189.15,55.47,549.0
HTTP请求3,35959,24,1,122,10.11,0.000%,352.71903,189.10,55.46,549.0
HTTP请求4,35939,24,1,124,10.03,0.000%,352.60240,189.04,55.44,549.0
HTTP请求5,35930,24,1,118,10.10,0.000%,352.53832,189.01,55.43,549.0
HTTP请求6,35915,24,1,120,10.06,0.000%,352.43263,188.95,55.41,549.0
HTTP请求7,35912,24,1,140,10.06,0.000%,352.40665,188.94,55.41,549.0
HTTP请求8,35906,24,1,116,10.11,0.000%,352.36506,188.91,55.40,549.0
HTTP请求9,35902,24,1,119,10.03,0.000%,352.35347,188.91,55.40,549.0
HTTP请求10,35884,24,1,120,10.07,0.000%,352.21138,187.85,55.38,546.1
线程组:HTTP请求8,2032,26,4,83,9.51,0.000%,286.07631,153.37,44.98,549.0
线程组:HTTP请求4,2041,26,3,83,9.45,0.000%,287.42431,154.10,45.19,549.0
线程组:HTTP请求9,2029,26,4,81,9.27,0.000%,285.57354,153.11,44.90,549.0
线程组:HTTP请求2,2040,26,4,81,9.83,0.000%,287.44540,154.11,45.19,549.0
线程组:HTTP请求7,2036,26,5,85,9.40,0.000%,286.67981,153.70,45.07,549.0
线程组:HTTP请求1,2038,26,4,86,9.61,0.000%,286.71919,153.72,45.08,549.0
线程组:HTTP请求3,2036,26,4,73,9.46,0.000%,286.43782,153.57,45.04,549.0
线程组:HTTP请求6,2046,26,3,83,9.62,0.000%,288.12843,154.48,45.30,549.0
线程组:HTTP请求5,2043,26,4,81,9.47,0.000%,287.74648,154.27,45.24,549.0
线程组:HTTP请求10,2038,26,3,84,9.48,0.000%,286.63854,152.88,45.07,546.2
总体,379675,24,1,140,10.05,0.000%,3723.87379,1995.45,585.49,548.7
